,price(USD)
1184,2344.4770211539335
1185,2490.3816820456423
1186,2344.4770211539335
1187,2490.3816820456423
1188,2271.524690708079
1189,2270.0656440991615
1190,2490.3816820456423
1191,2490.3816820456423
1192,2344.4770211539335
1193,2490.3816820456423
1194,2563.3340124914967
1195,2344.4770211539335
1196,2344.4770211539335
1197,2344.4770211539335
1198,2344.4770211539335
1199,2563.3340124914967
1200,2344.4770211539335
1201,2563.3340124914967
1202,2344.4770211539335
1203,2490.3816820456423
1204,2344.4770211539335
1205,2344.4770211539335
1206,2344.4770211539335
1207,2344.4770211539335
1208,2563.3340124914967
1209,2344.4770211539335
1210,2490.3816820456423
1211,2344.4770211539335
1212,2344.4770211539335
1213,2344.4770211539335
1214,2563.3340124914967
1215,2344.4770211539335
1216,2563.3340124914967
1217,2344.4770211539335
1218,2563.3340124914967
1219,5448.598681625041
1220,2709.2386733832054
1221,2490.3816820456423
1222,2490.3816820456423
1223,2344.4770211539335
1224,2344.4770211539335
1225,2344.4770211539335
1226,2563.3340124914967
1227,2490.3816820456423
1228,2563.3340124914967
1229,2490.3816820456423
1230,2563.3340124914967
1231,2490.3816820456423
1232,2490.3816820456423
1233,2490.3816820456423
1234,2490.3816820456423
1235,2563.3340124914967
1236,2490.3816820456423
1237,2490.3816820456423
1238,2490.3816820456423
1239,2563.3340124914967
1240,2563.3340124914967
1241,2344.4770211539335
1242,2490.3816820456423
1243,2344.4770211539335
1244,2344.4770211539335
1245,2344.4770211539335
1246,2344.4770211539335
1247,2490.3816820456423
1248,2344.4770211539335
1249,2490.3816820456423
1250,2344.4770211539335
1251,2344.4770211539335
1252,2344.4770211539335
1253,2490.3816820456423
1254,2344.4770211539335
1255,2490.3816820456423
1256,2490.3816820456423
1257,2344.4770211539335
1258,2490.3816820456423
1259,2490.3816820456423
1260,2490.3816820456423
1261,2490.3816820456423
1262,2344.4770211539335
1263,2490.3816820456423
1264,2344.4770211539335
1265,2490.3816820456423
1266,2490.3816820456423
1267,2563.3340124914967
1268,2490.3816820456423
1269,2490.3816820456423
1270,2490.3816820456423
1271,2490.3816820456423
1272,2563.3340124914967
1273,2490.3816820456423
1274,2490.3816820456423
1275,2563.3340124914967
